t(s),Flux surface 10: solute,Flux surface 9: solute,Flux surface 11: solute,Total solute volume 8,Total solute volume 7,Total solute volume 6,Total 1 volume 8,Total 2 volume 7,Total 3 volume 6,Total retention volume 8,Total retention volume 7,Total retention volume 6
196006.118008477,-4825554116064.668,-58637300714273.77,-48120036278.97528,1.8682995892648534e+17,2.2626347857366852e+16,1.955572931184773e+16,2.8258892901916942e+19,400470412117.4988,34581846237363.246,2.8445722860843442e+19,2.2626748327778984e+16,1.959031115808507e+16
235754.5416101724,-3653937091582.655,-44514031705961.3,-23279157415.364735,1.5356274262852294e+17,1.8664499564139372e+16,1.6569649908002874e+16,2.638037158945264e+19,334028457792.78375,30485473392037.184,2.6533934332081e+19,1.8664833592597148e+16,1.6600135381394918e+16
283452.64993220684,-2757421364973.474,-33870714141928.223,-5432779180.0878935,1.2650860193171597e+17,1.5438076517996968e+16,1.4086736190839846e+16,2.4662309024802144e+19,279319754550.86176,26928341833559.984,2.4788817626734027e+19,1.543835583775148e+16,1.4113664532673418e+16
340690.3799186482,-2071702616665.0525,-25826236705624.734,6904347184.69201,1.0447331830268374e+17,1.280039672654835e+16,1.2008919289886756e+16,2.3088894452993544e+19,234103829243.8442,23820349069983.07,2.3193367771296334e+19,1.2800630830377624e+16,1.203273963895675e+16
409375.65590237785,-1548099079409.2073,-19730139765644.18,14971934004.946056,8.649886945766307e+16,1.063655443326882e+16,1.0259785002584478e+16,2.1646293851555144e+19,196608100873.78506,21089603824996.934,2.1732792721012793e+19,1.0636751041369698e+16,1.0280874606409486e+16
491797.9870828534,-1149451875289.2654,-15099691417314.53,19791004140.53185,7.1814934079862696e+16,8855853184105508.0,8779366156125658.0,2.0322306884950295e+19,165419663210.37247,18678504315144.375,2.0394121819029918e+19,8856018603768718.0,8798044660440809.0
590704.784499424,-847199783577.1503,-11574986000210.848,22191499595.285603,5.980090289539405e+16,7386237846479046.0,7520309119851276.0,1.9106099923835113e+19,139405070546.13635,16540747217217.254,1.916590082673068e+19,7386377251549589.0,7536849867068499.0
709392.9413993089,-619266021762.262,-8886639571424.297,22837320840.333294,4.995597785892401e+16,6170145621611149.0,6445010933247259.0,1.798799693712319e+19,117650115625.31879,14639000289658.521,1.8037952914982367e+19,6170263271726790.0,6459649933536930.0
851818.7296791705,-448512553804.58716,-6832351811061.082,22249681319.02555,4.187551390780962e+16,5161373927856767.0,5523448844985352.0,1.6959314556681562e+19,99414013371.62605,12943053891445.824,1.7001190070589477e+19,5161473341870148.0,5536391898876813.0
1022729.6756150046,-321596597496.4748,-5259770241865.849,20831240584.31888,3.523220986817842e+16,4322687109739290.0,4731511808472647.0,1.6012231104922878e+19,84094108976.25124,11428326058274.53,1.6047463314791062e+19,4322771203848267.5,4742940134530914.0
1227822.8107380054,-228115923277.81445,-4053878230615.956,18891720773.214962,2.9761092755919692e+16,3623968014067069.5,4049703287303386.5,1.5139681808919658e+19,71198393477.41026,10074638776566.262,1.5169442901675856e+19,3624039212460552.5,4059777926079966.0
1473934.5728856064,-159963769789.06448,-3127659339864.6177,16671975060.294058,2.524749118723329e+16,3040778556606225.5,3462126787808052.5,1.4335273983503315e+19,60323928990.06236,8865218964555.412,1.4360521474690642e+19,3040838880535216.5,3470992006772614.0
1769268.6874627278,-110837184257.0629,-2415154434196.6577,14361493354.041494,2.151738355998797e+16,2553236279293919.5,2955698026923515.5,1.359321655227013e+19,51139918807.56164,7785916560693.198,1.3614733935830233e+19,2553287419212730.0,2963483943484214.0
2123669.6249552732,-75858383653.53969,-1866281318989.8567,12106746368.633972,1.8429651705556916e+16,2145148527142702.5,2519555712453326.0,1.2908257011256594e+19,43374706892.5485,6824679711677.623,1.292668666296216e+19,2145191901849598.0,2526380392165005.5
2548950.749946328,-51279734345.227875,-1442965384476.9888,10012781504.926975,1.5869876682852662e+16,1803371262342561.5,2144663423199401.2,1.2275613764950983e+19,36806399184.377754,5971362645645.736,1.229148364163385e+19,1803408068741747.0,2150634785845049.2
3059288.0999355935,-34250516423.659813,-1116253200655.6975,8143508870.833859,1.3745371429103886e+16,1517361893884935.0,1823590057350125.8,1.1690880740270948e+19,31256736032.054,5217894418219.25,1.1704626111700083e+19,1517393150620967.0,1828807951768353.8
3671692.9199227123,-22628883906.396538,-864157502827.2394,6524886000.282567,1.1981142232936798e+16,1278858207049956.0,1550403730282397.5,1.1149867681084396e+19,26586932317.871147,4558626675434.468,1.1161848823317414e+19,1278884793982275.5,1554962356957834.5
